,date,ticker,field,value
418,2017-02-24,SPX Index,PX_LAST,2367.34
419,2017-02-27,SPX Index,PX_LAST,2369.75
420,2017-02-28,SPX Index,PX_LAST,2363.64
421,2017-03-01,SPX Index,PX_LAST,2395.96
422,2017-03-02,SPX Index,PX_LAST,2381.92
423,2017-03-03,SPX Index,PX_LAST,2383.12
424,2017-03-06,SPX Index,PX_LAST,2375.31
425,2017-03-07,SPX Index,PX_LAST,2368.39
426,2017-03-08,SPX Index,PX_LAST,2362.98
427,2017-03-09,SPX Index,PX_LAST,2364.87
428,2017-03-10,SPX Index,PX_LAST,2372.6
429,2017-03-13,SPX Index,PX_LAST,2373.47
430,2017-03-14,SPX Index,PX_LAST,2365.45
431,2017-03-15,SPX Index,PX_LAST,2385.26
432,2017-03-16,SPX Index,PX_LAST,2381.38
433,2017-03-17,SPX Index,PX_LAST,2378.25
434,2017-03-20,SPX Index,PX_LAST,2373.47
435,2017-03-21,SPX Index,PX_LAST,2344.02
436,2017-03-22,SPX Index,PX_LAST,2348.45
437,2017-03-23,SPX Index,PX_LAST,2345.96
438,2017-03-24,SPX Index,PX_LAST,2343.98
439,2017-03-27,SPX Index,PX_LAST,2341.59
440,2017-03-28,SPX Index,PX_LAST,2358.57
441,2017-03-29,SPX Index,PX_LAST,2361.13
442,2017-03-30,SPX Index,PX_LAST,2368.06
443,2017-03-31,SPX Index,PX_LAST,2362.72
444,2017-04-03,SPX Index,PX_LAST,2358.84
445,2017-04-04,SPX Index,PX_LAST,2360.16
446,2017-04-05,SPX Index,PX_LAST,2352.95
447,2017-04-06,SPX Index,PX_LAST,2357.49
448,2017-04-07,SPX Index,PX_LAST,2355.54
449,2017-04-10,SPX Index,PX_LAST,2357.16
450,2017-04-11,SPX Index,PX_LAST,2353.78
451,2017-04-12,SPX Index,PX_LAST,2344.93
452,2017-04-13,SPX Index,PX_LAST,2328.95
453,2017-04-17,SPX Index,PX_LAST,2349.01
454,2017-04-18,SPX Index,PX_LAST,2342.19
455,2017-04-19,SPX Index,PX_LAST,2338.17
456,2017-04-20,SPX Index,PX_LAST,2355.84
457,2017-04-21,SPX Index,PX_LAST,2348.69
